spp,hatchdat,sizename,sizeclass_cm,rep,trialdate,letter,Avel_fts,Svel_fts,Treatment,dielphase,tempC_tread,DO_tread,tempC_hold,DO_hold,temp_sump,lux,N_fish,accl_time,start,end,Video_File_Name,General_Notes,Pre-test_tank,Post-test_tank,timePt,N_impinged,Time_impinged,Code_impinged,Nprod,Nrest,Nflange,Orientation,Fish,Swimming_time,Notes,Data_Enterer,Trial_ID_cam2,Trial_ID_cam4,Reviewer,Date_Reviewed,Notes/Flags?,BORIS_Ethovision_analyses,,,,,,,,,,,,,,,,
GS,2023-04-19,Small,6_10,r1,2023-06-08,B,0.2,2.0,0.2A_2S,Day,19.3,8.72,18.5,7.78,NA,7,24,10:19,10:50,11:20,2023June8_1020AM_B,NA,JC-02,MB-A2,t20,0,NA,NA,2,0,4,downstream,fish2,0:00:18,handful perpendicular,Zoe,20230608-B-cam2,20230608-B-cam4,Zoe,2023-09-07,,yes,,,,,,,,,,,,,,,,
GS,2023-04-19,Small,6_10,r1,2023-06-08,B,0.2,2.0,0.2A_2S,Day,19.3,8.72,18.5,7.78,NA,7,24,10:19,10:50,11:20,2023June8_1020AM_B,NA,JC-02,MB-A2,t20,0,NA,NA,3,0,4,downstream,fish3,0:00:22,handful perpendicular,Zoe,20230608-B-cam2,20230608-B-cam4,Zoe,2023-09-07,,yes,,,,,,,,,,,,,,,,
GS,2023-04-19,Small,6_10,r1,2023-06-08,B,0.2,2.0,0.2A_2S,Day,19.3,8.72,18.5,7.78,NA,7,24,10:19,10:50,11:20,2023June8_1020AM_B,NA,JC-02,MB-A2,t25,0,NA,NA,1,0,4,downstream,fish1,0:00:21,most of them are perpendicular on flange,Zoe,20230608-B-cam2,20230608-B-cam4,Zoe,2023-09-07,,yes,,,,,,,,,,,,,,,,
GS,2023-04-19,Small,6_10,r1,2023-06-08,B,0.2,2.0,0.2A_2S,Day,19.3,8.72,18.5,7.78,NA,7,24,10:19,10:50,11:20,2023June8_1020AM_B,NA,JC-02,MB-A2,t25,0,NA,NA,2,0,4,downstream,fish2,0:00:21,most of them are perpendicular on flange,Zoe,20230608-B-cam2,20230608-B-cam4,Zoe,2023-09-07,,yes,,,,,,,,,,,,,,,,
GS,2023-04-19,Small,6_10,r1,2023-06-08,B,0.2,2.0,0.2A_2S,Day,19.3,8.72,18.5,7.78,NA,7,24,10:19,10:50,11:20,2023June8_1020AM_B,NA,JC-02,MB-A2,t25,0,NA,NA,3,0,4,downstream,fish3,0:00:22,most of them are perpendicular on flange,Zoe,20230608-B-cam2,20230608-B-cam4,Zoe,2023-09-07,,yes,,,,,,,,,,,,,,,,
GS,2023-04-19,Small,6_10,r1,2023-06-08,C,0.0,0.0,0A_0S,Day,19.5,8.23,18.8,8.52,NA,8,24,11:40,12:10,12:40,2023June8_1140AM_C,air put in treadmill tires,JC-02,MB-A3,t5,NA,NA,NA,1,NA,NA,NA,fish1,NA,NA,Zoe,20230608-C-cam2,20230608-C-cam4,Zoe,2023-09-07,,yes,,,,,,,,,,,,,,,,
GS,2023-04-19,Small,6_10,r1,2023-06-08,C,0.0,0.0,0A_0S,Day,19.5,8.23,18.8,8.52,NA,8,24,11:40,12:10,12:40,2023June8_1140AM_C,air put in treadmill tires,JC-02,MB-A3,t5,NA,NA,NA,2,NA,NA,NA,fish2,NA,NA,Zoe,20230608-C-cam2,20230608-C-cam4,Zoe,2023-09-07,,yes,,,,,,,,,,,,,,,,
GS,2023-04-19,Small,6_10,r1,2023-06-08,C,0.0,0.0,0A_0S,Day,19.5,8.23,18.8,8.52,NA,8,24,11:40,12:10,12:40,2023June8_1140AM_C,air put in treadmill tires,JC-02,MB-A3,t5,NA,NA,NA,3,NA,NA,NA,fish3,NA,NA,Zoe,20230608-C-cam2,20230608-C-cam4,Zoe,2023-09-07,,yes,,,,,,,,,,,,,,,,
GS,2023-04-19,Small,6_10,r1,2023-06-08,C,0.0,0.0,0A_0S,Day,19.5,8.23,18.8,8.52,NA,8,24,11:40,12:10,12:40,2023June8_1140AM_C,air put in treadmill tires,JC-02,MB-A3,t10,NA,NA,NA,1,NA,NA,NA,fish1,NA,NA,Zoe,20230608-C-cam2,20230608-C-cam4,Zoe,2023-09-07,,yes,,,,,,,,,,,,,,,,
GS,2023-04-19,Small,6_10,r1,2023-06-08,C,0.0,0.0,0A_0S,Day,19.5,8.23,18.8,8.52,NA,8,24,11:40,12:10,12:40,2023June8_1140AM_C,air put in treadmill tires,JC-02,MB-A3,t10,NA,NA,NA,2,NA,NA,NA,fish2,NA,NA,Zoe,20230608-C-cam2,20230608-C-cam4,Zoe,2023-09-07,,yes,,,,,,,,,,,,,,,,
GS,2023-04-19,Small,6_10,r1,2023-06-08,C,0.0,0.0,0A_0S,Day,19.5,8.23,18.8,8.52,NA,8,24,11:40,12:10,12:40,2023June8_1140AM_C,air put in treadmill tires,JC-02,MB-A3,t10,NA,NA,NA,3,NA,NA,NA,fish3,NA,NA,Zoe,20230608-C-cam2,20230608-C-cam4,Zoe,2023-09-07,,yes,,,,,,,,,,,,,,,,
GS,2023-04-19,Small,6_10,r1,2023-06-08,C,0.0,0.0,0A_0S,Day,19.5,8.23,18.8,8.52,NA,8,24,11:40,12:10,12:40,2023June8_1140AM_C,air put in treadmill tires,JC-02,MB-A3,t15,NA,NA,NA,1,NA,NA,NA,fish1,NA,NA,Zoe,20230608-C-cam2,20230608-C-cam4,Zoe,2023-09-07,,yes,,,,,,,,,,,,,,,,
GS,2023-04-19,Small,6_10,r1,2023-06-08,C,0.0,0.0,0A_0S,Day,19.5,8.23,18.8,8.52,NA,8,24,11:40,12:10,12:40,2023June8_1140AM_C,air put in treadmill tires,JC-02,MB-A3,t15,NA,NA,NA,2,NA,NA,NA,fish2,NA,NA,Zoe,20230608-C-cam2,20230608-C-cam4,Zoe,2023-09-07,,yes,,,,,,,,,,,,,,,,
GS,2023-04-19,Small,6_10,r1,2023-06-08,C,0.0,0.0,0A_0S,Day,19.5,8.23,18.8,8.52,NA,8,24,11:40,12:10,12:40,2023June8_1140AM_C,air put in treadmill tires,JC-02,MB-A3,t15,NA,NA,NA,3,NA,NA,NA,fish3,NA,NA,Zoe,20230608-C-cam2,20230608-C-cam4,Zoe,2023-09-07,,yes,,,,,,,,,,,,,,,,
GS,2023-04-19,Small,6_10,r1,2023-06-08,C,0.0,0.0,0A_0S,Day,19.5,8.23,18.8,8.52,NA,8,24,11:40,12:10,12:40,2023June8_1140AM_C,air put in treadmill tires,JC-02,MB-A3,t20,NA,NA,NA,1,NA,NA,NA,fish1,NA,NA,Zoe,20230608-C-cam2,20230608-C-cam4,Zoe,2023-09-07,,yes,,,,,,,,,,,,,,,,
GS,2023-04-19,Small,6_10,r1,2023-06-08,C,0.0,0.0,0A_0S,Day,19.5,8.23,18.8,8.52,NA,8,24,11:40,12:10,12:40,2023June8_1140AM_C,air put in treadmill tires,JC-02,MB-A3,t20,NA,NA,NA,2,NA,NA,NA,fish2,NA,NA,Zoe,20230608-C-cam2,20230608-C-cam4,Zoe,2023-09-07,,yes,,,,,,,,,,,,,,,,
GS,2023-04-19,Small,6_10,r1,2023-06-08,C,0.0,0.0,0A_0S,Day,19.5,8.23,18.8,8.52,NA,8,24,11:40,12:10,12:40,2023June8_1140AM_C,air put in treadmill tires,JC-02,MB-A3,t20,NA,NA,NA,3,NA,NA,NA,fish3,NA,NA,Zoe,20230608-C-cam2,20230608-C-cam4,Zoe,2023-09-07,,yes,,,,,,,,,,,,,,,,
GS,2023-04-19,Small,6_10,r1,2023-06-08,C,0.0,0.0,0A_0S,Day,19.5,8.23,18.8,8.52,NA,8,24,11:40,12:10,12:40,2023June8_1140AM_C,air put in treadmill tires,JC-02,MB-A3,t25,NA,NA,NA,1,NA,NA,NA,fish1,NA,NA,Zoe,20230608-C-cam2,20230608-C-cam4,Zoe,2023-09-07,,yes,,,,,,,,,,,,,,,,
GS,2023-04-19,Small,6_10,r1,2023-06-08,C,0.0,0.0,0A_0S,Day,19.5,8.23,18.8,8.52,NA,8,24,11:40,12:10,12:40,2023June8_1140AM_C,air put in treadmill tires,JC-02,MB-A3,t25,NA,NA,NA,2,NA,NA,NA,fish2,NA,NA,Zoe,20230608-C-cam2,20230608-C-cam4,Zoe,2023-09-07,,yes,,,,,,,,,,,,,,,,
GS,2023-04-19,Small,6_10,r1,2023-06-08,C,0.0,0.0,0A_0S,Day,19.5,8.23,18.8,8.52,NA,8,24,11:40,12:10,12:40,2023June8_1140AM_C,air put in treadmill tires,JC-02,MB-A3,t25,NA,NA,NA,3,NA,NA,NA,fish3,NA,NA,Zoe,20230608-C-cam2,20230608-C-cam4,Zoe,2023-09-07,,yes,,,,,,,,,,,,,,,,
GS,2023-04-19,Small,6_10,r2,2023-06-08,D,0.2,2.0,0.2A_2S,Day,19.8,9.32,19.1,6.67,NA,6,24,12:59,13:30,14:00,2023June8_1300PM_D,NA,JC-02,MB-A4,t5,0,NA,NA,1,0,5,upstream,fish1,0:00:22,debris,Zoe,20230608-D-cam2,20230608-D-cam4,Zoe,2023-09-07,,yes,,,,,,,,,,,,,,,,
GS,2023-04-19,Small,6_10,r2,2023-06-08,D,0.2,2.0,0.2A_2S,Day,19.8,9.32,19.1,6.67,NA,6,24,12:59,13:30,14:00,2023June8_1300PM_D,NA,JC-02,MB-A4,t5,0,NA,NA,2,0,5,upstream,fish2,0:00:23,debris,Zoe,20230608-D-cam2,20230608-D-cam4,Zoe,2023-09-07,,yes,,,,,,,,,,,,,,,,
GS,2023-04-19,Small,6_10,r2,2023-06-08,D,0.2,2.0,0.2A_2S,Day,19.8,9.32,19.1,6.67,NA,6,24,12:59,13:30,14:00,2023June8_1300PM_D,NA,JC-02,MB-A4,t5,0,NA,NA,3,0,5,upstream,fish3,0:00:21,debris,Zoe,20230608-D-cam2,20230608-D-cam4,Zoe,2023-09-07,,yes,,,,,,,,,,,,,,,,
GS,2023-04-19,Small,6_10,r2,2023-06-08,D,0.2,2.0,0.2A_2S,Day,19.8,9.32,19.1,6.67,NA,6,24,12:59,13:30,14:00,2023June8_1300PM_D,NA,JC-02,MB-A4,t10,0,NA,NA,1,0,7,upstream_perpendicular,fish1,0:00:28,NA,Zoe,20230608-D-cam2,20230608-D-cam4,Zoe,2023-09-07,,yes,,,,,,,,,,,,,,,,
GS,2023-04-19,Small,6_10,r2,2023-06-08,D,0.2,2.0,0.2A_2S,Day,19.8,9.32,19.1,6.67,NA,6,24,12:59,13:30,14:00,2023June8_1300PM_D,NA,JC-02,MB-A4,t10,0,NA,NA,2,0,7,upstream_perpendicular,fish2,0:00:22,NA,Zoe,20230608-D-cam2,20230608-D-cam4,Zoe,2023-09-07,,yes,,,,,,,,,,,,,,,,
GS,2023-04-19,Small,6_10,r2,2023-06-08,D,0.2,2.0,0.2A_2S,Day,19.8,9.32,19.1,6.67,NA,6,24,12:59,13:30,14:00,2023June8_1300PM_D,NA,JC-02,MB-A4,t10,0,NA,NA,3,0,7,upstream_perpendicular,fish3,0:00:20,NA,Zoe,20230608-D-cam2,20230608-D-cam4,Zoe,2023-09-07,,yes,,,,,,,,,,,,,,,,
GS,2023-04-19,Small,6_10,r2,2023-06-08,D,0.2,2.0,0.2A_2S,Day,19.8,9.32,19.1,6.67,NA,6,24,12:59,13:30,14:00,2023June8_1300PM_D,NA,JC-02,MB-A4,t15,0,NA,NA,1,0,4,downstream_upstream,fish1,0:00:20,NA,Zoe,20230608-D-cam2,20230608-D-cam4,Zoe,2023-09-07,,yes,,,,,,,,,,,,,,,,
GS,2023-04-19,Small,6_10,r2,2023-06-08,D,0.2,2.0,0.2A_2S,Day,19.8,9.32,19.1,6.67,NA,6,24,12:59,13:30,14:00,2023June8_1300PM_D,NA,JC-02,MB-A4,t15,0,NA,NA,2,0,4,downstream_upstream,fish2,0:00:26,NA,Zoe,20230608-D-cam2,20230608-D-cam4,Zoe,2023-09-07,,yes,,,,,,,,,,,,,,,,
GS,2023-04-19,Small,6_10,r2,2023-06-08,D,0.2,2.0,0.2A_2S,Day,19.8,9.32,19.1,6.67,NA,6,24,12:59,13:30,14:00,2023June8_1300PM_D,NA,JC-02,MB-A4,t15,0,NA,NA,3,0,4,downstream_upstream,fish3,0:00:19,NA,Zoe,20230608-D-cam2,20230608-D-cam4,Zoe,2023-09-07,,yes,,,,,,,,,,,,,,,,
GS,2023-04-19,Small,6_10,r2,2023-06-08,D,0.2,2.0,0.2A_2S,Day,19.8,9.32,19.1,6.67,NA,6,24,12:59,13:30,14:00,2023June8_1300PM_D,NA,JC-02,MB-A4,t20,0,NA,NA,1,1,4,perpendicular,fish1,0:00:22,NA,Zoe,20230608-D-cam2,20230608-D-cam4,Zoe,2023-09-07,,yes,,,,,,,,,,,,,,,,
GS,2023-04-19,Small,6_10,r2,2023-06-08,D,0.2,2.0,0.2A_2S,Day,19.8,9.32,19.1,6.67,NA,6,24,12:59,13:30,14:00,2023June8_1300PM_D,NA,JC-02,MB-A4,t20,0,NA,NA,2,0,4,perpendicular,fish2,0:00:22,NA,Zoe,20230608-D-cam2,20230608-D-cam4,Zoe,2023-09-07,,yes,,,,,,,,,,,,,,,,
GS,2023-04-19,Small,6_10,r2,2023-06-08,D,0.2,2.0,0.2A_2S,Day,19.8,9.32,19.1,6.67,NA,6,24,12:59,13:30,14:00,2023June8_1300PM_D,NA,JC-02,MB-A4,t20,0,NA,NA,3,0,4,perpendicular,fish3,0:00:23,NA,Zoe,20230608-D-cam2,20230608-D-cam4,Zoe,2023-09-07,,yes,,,,,,,,,,,,,,,,
GS,2023-04-19,Small,6_10,r2,2023-06-08,D,0.2,2.0,0.2A_2S,Day,19.8,9.32,19.1,6.67,NA,6,24,12:59,13:30,14:00,2023June8_1300PM_D,NA,JC-02,MB-A4,t25,0,NA,NA,1,1,6,perpendicular,fish1,0:00:26,NA,Zoe,20230608-D-cam2,20230608-D-cam4,Zoe,2023-09-07,,yes,,,,,,,,,,,,,,,,
GS,2023-04-19,Small,6_10,r2,2023-06-08,D,0.2,2.0,0.2A_2S,Day,19.8,9.32,19.1,6.67,NA,6,24,12:59,13:30,14:00,2023June8_1300PM_D,NA,JC-02,MB-A4,t25,0,NA,NA,2,0,6,perpendicular,fish2,0:00:22,NA,Zoe,20230608-D-cam2,20230608-D-cam4,Zoe,2023-09-07,,yes,,,,,,,,,,,,,,,,
GS,2023-04-19,Small,6_10,r2,2023-06-08,D,0.2,2.0,0.2A_2S,Day,19.8,9.32,19.1,6.67,NA,6,24,12:59,13:30,14:00,2023June8_1300PM_D,NA,JC-02,MB-A4,t25,0,NA,NA,3,0,6,perpendicular,fish3,0:00:22,NA,Zoe,20230608-D-cam2,20230608-D-cam4,Zoe,2023-09-07,,yes,,,,,,,,,,,,,,,,
