spp,hatchdat,sizename,sizeclass_cm,Trial_ID,Contact_event,Contact_Orientation,Contact_First_Bodypart,N_Contact,Time_Point,Notes,Data_Enterer,,,,,,,,,,
GS,2023-04-19,Small,6_10,2023-06-08_A,6,Downstream,Tail,1,t20,NA,Alison,,,,,,,,,,
GS,2023-04-19,Small,6_10,2023-06-08_A,7,Downstream,Body,1,t20,NA,Alison,,,,,,,,,,
GS,2023-04-19,Small,6_10,2023-06-08_A,8,Downstream,Body,1,t20,NA,Alison,,,,,,,,,,
GS,2023-04-19,Small,6_10,2023-06-08_A,9,Downstream,Body,1,t20,NA,Alison,,,,,,,,,,
GS,2023-04-19,Small,6_10,2023-06-08_A,10,Unknown,Head,1,t20,NA,Alison,,,,,,,,,,
GS,2023-04-19,Small,6_10,2023-06-08_A,11,Unknown,Head,1,t20,NA,Alison,,,,,,,,,,
GS,2023-04-19,Small,6_10,2023-06-08_A,12,Unknown,Head,1,t20,NA,Alison,,,,,,,,,,
GS,2023-04-19,Small,6_10,2023-06-08_A,1,Downstream,Head,1,t25,NA,Alison,,,,,,,,,,
GS,2023-04-19,Small,6_10,2023-06-08_A,2,Downstream,Head,1,t25,NA,Alison,,,,,,,,,,
GS,2023-04-19,Small,6_10,2023-06-08_A,3,Downstream,Tail,1,t25,NA,Alison,,,,,,,,,,
GS,2023-04-19,Small,6_10,2023-06-08_A,4,Downstream,Body,1,t25,NA,Alison,,,,,,,,,,
GS,2023-04-19,Small,6_10,2023-06-08_A,5,Downstream,Body,1,t25,NA,Alison,,,,,,,,,,
GS,2023-04-19,Small,6_10,2023-06-08_A,6,Downstream,Body,1,t25,NA,Alison,,,,,,,,,,
GS,2023-04-19,Small,6_10,2023-06-08_A,7,Downstream,Body,1,t25,NA,Alison,,,,,,,,,,
GS,2023-04-19,Small,6_10,2023-06-08_A,8,Downstream,Body,1,t25,NA,Alison,,,,,,,,,,
GS,2023-04-19,Small,6_10,2023-06-08_A,9,Downstream,Body,1,t25,NA,Alison,,,,,,,,,,
GS,2023-04-19,Small,6_10,2023-06-08_A,10,Unknown,Head,1,t25,NA,Alison,,,,,,,,,,
GS,2023-04-19,Small,6_10,2023-06-08_A,11,Unknown,Head,1,t25,NA,Alison,,,,,,,,,,
GS,2023-04-19,Small,6_10,2023-06-08_A,12,Unknown,Head,1,t25,NA,Alison,,,,,,,,,,
GS,2023-04-19,Small,6_10,2023-06-08_B,1,Upstream,Tail,1,t5,NA,Megan,,,,,,,,,,
GS,2023-04-19,Small,6_10,2023-06-08_B,2,Upstream,Tail,2,t5,NA,Megan,,,,,,,,,,
GS,2023-04-19,Small,6_10,2023-06-08_B,3,Upstream,Tail,3,t5,NA,Megan,,,,,,,,,,
GS,2023-04-19,Small,6_10,2023-06-08_B,4,Upstream,Tail,1,t5,NA,Megan,,,,,,,,,,
GS,2023-04-19,Small,6_10,2023-06-08_B,5,Upstream,Body,1,t5,NA,Megan,,,,,,,,,,
GS,2023-04-19,Small,6_10,2023-06-08_B,6,Unknown,Head,1,t5,NA,Megan,,,,,,,,,,
GS,2023-04-19,Small,6_10,2023-06-08_B,1,Upstream,Tail,1,t10,NA,Megan,,,,,,,,,,
GS,2023-04-19,Small,6_10,2023-06-08_B,2,Upstream,Tail,1,t10,NA,Megan,,,,,,,,,,
GS,2023-04-19,Small,6_10,2023-06-08_B,3,Upstream,Tail,3,t10,NA,Megan,,,,,,,,,,
GS,2023-04-19,Small,6_10,2023-06-08_B,4,Upstream,Body,1,t10,NA,Megan,,,,,,,,,,
GS,2023-04-19,Small,6_10,2023-06-08_B,5,Downstream,Body,1,t10,NA,Megan,,,,,,,,,,
GS,2023-04-19,Small,6_10,2023-06-08_B,6,Unknown,Head,1,t10,NA,Megan,,,,,,,,,,
GS,2023-04-19,Small,6_10,2023-06-08_B,1,Upstream,Tail,4,t15,NA,Megan,,,,,,,,,,
GS,2023-04-19,Small,6_10,2023-06-08_B,2,Upstream,Tail,6,t15,NA,Megan,,,,,,,,,,
GS,2023-04-19,Small,6_10,2023-06-08_B,3,Upstream,Tail,8,t15,NA,Megan,,,,,,,,,,
GS,2023-04-19,Small,6_10,2023-06-08_B,4,Downstream,Body,1,t15,NA,Megan,,,,,,,,,,
GS,2023-04-19,Small,6_10,2023-06-08_B,5,Unknown,Head,1,t15,NA,Megan,,,,,,,,,,
GS,2023-04-19,Small,6_10,2023-06-08_B,6,Unknown,Head,1,t15,NA,Megan,,,,,,,,,,
GS,2023-04-19,Small,6_10,2023-06-08_B,1,Upstream,Tail,2,t20,NA,Megan,,,,,,,,,,
GS,2023-04-19,Small,6_10,2023-06-08_B,2,Upstream,Tail,1,t20,NA,Megan,,,,,,,,,,
GS,2023-04-19,Small,6_10,2023-06-08_B,3,Upstream,Tail,1,t20,NA,Megan,,,,,,,,,,
GS,2023-04-19,Small,6_10,2023-06-08_B,4,Upstream,Tail,1,t20,NA,Megan,,,,,,,,,,
GS,2023-04-19,Small,6_10,2023-06-08_B,5,Unknown,Head,1,t20,NA,Megan,,,,,,,,,,
GS,2023-04-19,Small,6_10,2023-06-08_B,1,Downstream,Tail,1,t25,NA,Megan,,,,,,,,,,
GS,2023-04-19,Small,6_10,2023-06-08_C,1,Upstream,Body,1,t5,NA,Megan,,,,,,,,,,
GS,2023-04-19,Small,6_10,2023-06-08_C,2,Downstream,Head,2,t5,NA,Megan,,,,,,,,,,
GS,2023-04-19,Small,6_10,2023-06-08_C,3,Downstream,Body,1,t5,NA,Megan,,,,,,,,,,
GS,2023-04-19,Small,6_10,2023-06-08_C,4,Downstream,Body,2,t5,NA,Megan,,,,,,,,,,
GS,2023-04-19,Small,6_10,2023-06-08_C,5,Unknown,Head,4,t5,NA,Megan,,,,,,,,,,
GS,2023-04-19,Small,6_10,2023-06-08_C,6,Unknown,Head,2,t5,NA,Megan,,,,,,,,,,
GS,2023-04-19,Small,6_10,2023-06-08_C,1,Upstream,Body,1,t10,NA,Megan,,,,,,,,,,
GS,2023-04-19,Small,6_10,2023-06-08_C,2,Downstream,Body,1,t10,NA,Megan,,,,,,,,,,
GS,2023-04-19,Small,6_10,2023-06-08_C,3,Downstream,Body,1,t10,NA,Megan,,,,,,,,,,
GS,2023-04-19,Small,6_10,2023-06-08_C,4,Unknown,Head,1,t10,NA,Megan,,,,,,,,,,
GS,2023-04-19,Small,6_10,2023-06-08_C,5,Unknown,Head,1,t10,NA,Megan,,,,,,,,,,
GS,2023-04-19,Small,6_10,2023-06-08_C,6,Unknown,Head,2,t10,NA,Megan,,,,,,,,,,
GS,2023-04-19,Small,6_10,2023-06-08_C,7,Unknown,Head,2,t10,NA,Megan,,,,,,,,,,
GS,2023-04-19,Small,6_10,2023-06-08_C,1,Upstream,Head,1,t15,NA,Megan,,,,,,,,,,
GS,2023-04-19,Small,6_10,2023-06-08_C,2,Upstream,Body,2,t15,NA,Megan,,,,,,,,,,
GS,2023-04-19,Small,6_10,2023-06-08_C,3,Downstream,Head,1,t15,NA,Megan,,,,,,,,,,
